sample,condition,gene,normalized_counts
ana2,ana,PLCB1,42.6470929456816
ana2,ana,BPIFA2,119.872909901375
ana2,ana,TIAM1,161.36737871339
ana3,ana,HES5,6.59560847949465
ana3,ana,POU3F1,6.59560847949465
ana3,ana,EDN2,3.7689191311398
ana3,ana,FAM183A,1.8844595655699
ana3,ana,PIFO,2.82668934835485
ana3,ana,AL451085.1,0.94222978278495
ana3,ana,HSPA6,42.4003402253228
ana3,ana,FMO2,4.71114891392475
ana3,ana,LEMD1,4.71114891392475
ana3,ana,EHD3,21.6712850040539
ana3,ana,CYP1B1,66.8983145777315
ana3,ana,DUSP2,40.5158806597529
ana3,ana,AC013264.1,0
ana3,ana,HES1,318.473666581313
ana3,ana,ADH1C,8.48006804506455
ana3,ana,PCDH10,0
ana3,ana,C5orf49,9.4222978278495
ana3,ana,CDC20B,1.8844595655699
ana3,ana,FAM169A,40.5158806597529
ana3,ana,LTC4S,13.1912169589893
ana3,ana,HSPA1A,1680.93793248835
ana3,ana,HSPA1B,824.451059936832
ana3,ana,GSTA1,119.663182413689
ana3,ana,AL355312.4,11.3067573934194
ana3,ana,PIP,159.236833290657
ana3,ana,NEFM,9.4222978278495
ana3,ana,EFCAB1,2.82668934835485
ana3,ana,ARC,3.7689191311398
ana3,ana,C9orf24,4.71114891392475
ana3,ana,GADD45G,27.3246637007636
ana3,ana,PALM2-AKAP2,97.9918974096348
ana3,ana,IER5L,200.694943733194
ana3,ana,MSMB,6582.41726253566
ana3,ana,DYDC2,0.94222978278495
ana3,ana,INA,80.0895315367208
ana3,ana,FUOM,12.2489871762044
ana3,ana,PGGHG,31.0935828319034
ana3,ana,CDKN1C,167.716901335721
ana3,ana,LINC02709,0.94222978278495
ana3,ana,MMP7,20.7290552212689
ana3,ana,MIR200CHG,10.3645276106345
ana3,ana,ERP27,0
ana3,ana,AC023157.3,52.7648678359572
ana3,ana,NR4A1,77.2628421883659
ana3,ana,PCDH9,4.71114891392475
ana3,ana,LINC02300,6.59560847949465
ana3,ana,FOS,702.903417957573
ana3,ana,AL357093.2,5.6533786967097
ana3,ana,CYP1A1,0
ana3,ana,MSLN,14.1334467417743
ana3,ana,CRYM,8.48006804506455
ana3,ana,CHP2,27.3246637007636
ana3,ana,HSD17B2,37.689191311398
ana3,ana,ZFPM1,62.1871656638067
ana3,ana,LINC00324,21.6712850040539
ana3,ana,RASD1,30.1513530491184
ana3,ana,OMG,1.8844595655699
ana3,ana,KRTAP3-1,0
ana3,ana,NGFR,114.952033499764
ana3,ana,LINC01970,11.3067573934194
ana3,ana,DSC3,132.854399372678
ana3,ana,DSG3,48.9959487048174
ana3,ana,GADD45B,460.750363781841
ana3,ana,CDC42EP5,641.658482076551
ana3,ana,TMEM190,0.94222978278495
ana3,ana,TMEM238,11.3067573934194
ana3,ana,AC012313.1,14.1334467417743
ana3,ana,PLCB1,35.8047317458281
ana3,ana,BPIFA2,254.402041351937
ana3,ana,TIAM1,126.258790893183
ana4,ana,HES5,2.29429483682845
ana4,ana,POU3F1,3.44144225524267
ana4,ana,EDN2,3.44144225524267
ana4,ana,FAM183A,3.44144225524267
ana4,ana,PIFO,5.73573709207112
ana4,ana,AL451085.1,0
ana4,ana,HSPA6,74.5645821969245
ana4,ana,FMO2,3.44144225524267
ana4,ana,LEMD1,5.73573709207112
ana4,ana,EHD3,30.972980297184
ana4,ana,CYP1B1,40.1501596444978
ana4,ana,DUSP2,111.27329958618
ana4,ana,AC013264.1,1.14714741841422
ana4,ana,HES1,356.762847126824
ana4,ana,ADH1C,11.4714741841422
ana4,ana,PCDH10,0
ana4,ana,C5orf49,5.73573709207112
ana4,ana,CDC20B,1.14714741841422
ana4,ana,FAM169A,48.1801915733974
ana4,ana,LTC4S,13.7657690209707
ana4,ana,HSPA1A,1182.70898838506
ana4,ana,HSPA1B,751.381559061316
ana4,ana,GSTA1,61.9459605943681
ana4,ana,AL355312.4,14.9129164393849
ana4,ana,PIP,147.982016975435
ana4,ana,NEFM,17.2072112762134
ana4,ana,EFCAB1,2.29429483682845
ana4,ana,ARC,2.29429483682845
ana4,ana,C9orf24,8.03003192889957
ana4,ana,GADD45G,28.6786854603556
ana4,ana,PALM2-AKAP2,183.543586946276
ana4,ana,IER5L,165.189228251648
ana4,ana,MSMB,6230.15762940765
ana4,ana,DYDC2,0
ana4,ana,INA,191.573618875175
ana4,ana,FUOM,16.0600638577991
ana4,ana,PGGHG,14.9129164393849
ana4,ana,CDKN1C,107.831857330937
ana4,ana,LINC02709,6.88288451048534
ana4,ana,MMP7,49.3273389918116
ana4,ana,MIR200CHG,12.6186216025565
ana4,ana,ERP27,2.29429483682845
ana4,ana,AC023157.3,58.5045183391254
ana4,ana,NR4A1,81.4474667074099
ana4,ana,PCDH9,5.73573709207112
ana4,ana,LINC02300,5.73573709207112
ana4,ana,FOS,412.973070629121
ana4,ana,AL357093.2,2.29429483682845
ana4,ana,CYP1A1,0
ana4,ana,MSLN,24.0900957866987
ana4,ana,CRYM,1.14714741841422
ana4,ana,CHP2,27.5315380419414
ana4,ana,HSD17B2,49.3273389918116
ana4,ana,ZFPM1,29.8258328787698
ana4,ana,LINC00324,24.0900957866987
ana4,ana,RASD1,42.4444544813263
ana4,ana,OMG,0
ana4,ana,KRTAP3-1,0
ana4,ana,NGFR,158.306343741163
ana4,ana,LINC01970,9.17717934731379
ana4,ana,DSC3,185.837881783104
ana4,ana,DSG3,127.333363443979
ana4,ana,GADD45B,439.357461252648
ana4,ana,CDC42EP5,426.738839650091
ana4,ana,TMEM190,9.17717934731379
ana4,ana,TMEM238,6.88288451048534
ana4,ana,AC012313.1,11.4714741841422
ana4,ana,PLCB1,47.0330441549832
ana4,ana,BPIFA2,98.6546779836232
ana4,ana,TIAM1,143.393427301778
ana5,ana,HES5,0
ana5,ana,POU3F1,1.41494311721152
ana5,ana,EDN2,9.90460182048065
ana5,ana,FAM183A,1.41494311721152
ana5,ana,PIFO,9.19713026187489
ana5,ana,AL451085.1,0
ana5,ana,HSPA6,37.4959926061053
ana5,ana,FMO2,1.41494311721152
ana5,ana,LEMD1,2.82988623442304
ana5,ana,EHD3,41.7408219577399
ana5,ana,CYP1B1,72.8695705363934
ana5,ana,DUSP2,108.950620025287
ana5,ana,AC013264.1,0
ana5,ana,HES1,316.239786696775
ana5,ana,ADH1C,15.5643742893267
ana5,ana,PCDH10,1.41494311721152
ana5,ana,C5orf49,5.65977246884609
ana5,ana,CDC20B,0.707471558605761
ana5,ana,FAM169A,50.230480661009
ana5,ana,LTC4S,7.78218714466337
ana5,ana,HSPA1A,1275.57122016619
ana5,ana,HSPA1B,619.037613780041
ana5,ana,GSTA1,69.3322127433646
ana5,ana,AL355312.4,9.90460182048065
ana5,ana,PIP,115.317864052739
ana5,ana,NEFM,5.65977246884609
ana5,ana,EFCAB1,2.12241467581728
ana5,ana,ARC,0.707471558605761
ana5,ana,C9orf24,2.12241467581728
ana5,ana,GADD45G,31.8362201372592
ana5,ana,PALM2-AKAP2,153.52132821745
ana5,ana,IER5L,168.378230948171
ana5,ana,MSMB,5131.99868612619
ana5,ana,DYDC2,0
ana5,ana,INA,75.6994567708164
ana5,ana,FUOM,19.1017320823555
ana5,ana,PGGHG,12.7344880549037
ana5,ana,CDKN1C,73.5770420949991
ana5,ana,LINC02709,1.41494311721152
ana5,ana,MMP7,21.2241467581728
ana5,ana,MIR200CHG,16.2718458479325
ana5,ana,ERP27,2.12241467581728
ana5,ana,AC023157.3,45.9856513093745
ana5,ana,NR4A1,101.87590443923
ana5,ana,PCDH9,3.5373577930288
ana5,ana,LINC02300,5.65977246884609
ana5,ana,FOS,302.797827083266
ana5,ana,AL357093.2,0.707471558605761
ana5,ana,CYP1A1,0
ana5,ana,MSLN,67.2097980675473
ana5,ana,CRYM,7.78218714466337
ana5,ana,CHP2,15.5643742893267
ana5,ana,HSD17B2,40.3258788405284
ana5,ana,ZFPM1,24.0540329925959
ana5,ana,LINC00324,15.5643742893267
ana5,ana,RASD1,62.9649687159127
ana5,ana,OMG,0.707471558605761
ana5,ana,KRTAP3-1,0
ana5,ana,NGFR,163.425930037931
ana5,ana,LINC01970,8.48965870326913
ana5,ana,DSC3,157.766157569085
ana5,ana,DSG3,65.7948549503358
ana5,ana,GADD45B,451.366854390476
ana5,ana,CDC42EP5,199.506979526825
ana5,ana,TMEM190,3.5373577930288
ana5,ana,TMEM238,4.95230091024033
