sample,condition,gene,normalized_counts
ana1,ana,CFAP300,184.870347249766
ana1,ana,AP003307.1,3.96150744106642
ana1,ana,AP002008.4,6.60251240177736
ana1,ana,C11orf88,236.36994398363
ana1,ana,PIH1D2,56.7816066552853
ana1,ana,CCDC153,176.947332367633
ana1,ana,SPA17,367.099689538821
ana1,ana,TP53AIP1,9.24351736248831
ana1,ana,MIR200CHG,38.2945719303087
ana1,ana,ST8SIA1,7.92301488213283
ana1,ana,AC023157.3,27.7305520874649
ana1,ana,PRICKLE1,40.9355768910196
ana1,ana,AC008035.1,3.96150744106642
ana1,ana,CCDC65,69.98663145884
ana1,ana,GIHCG,69.98663145884
ana1,ana,TSPAN19,106.960700908793
ana1,ana,CFAP73,120.165725712348
ana1,ana,TEX26,59.4226116159963
ana1,ana,KCNRG,13.2050248035547
ana1,ana,LMO7-AS1,5.28200992142189
ana1,ana,AL096870.8,2.64100496071094
ana1,ana,LINC02300,13.2050248035547
ana1,ana,AL136038.5,14.5255272839102
ana1,ana,PPP1R36,10.5640198428438
ana1,ana,ACYP1,105.640198428438
ana1,ana,FOS,287.869540717493
ana1,ana,AL357093.2,330.125620088868
ana1,ana,CRIP1,987.735855305893
ana1,ana,LINC02345,19.8075372053321
ana1,ana,DNAAF4,192.793362131899
ana1,ana,MNS1,188.831854690833
ana1,ana,AC027237.3,14.5255272839102
ana1,ana,AC023300.2,29.0510545678204
ana1,ana,CFAP161,17.1665322446211
ana1,ana,WDR93,17.1665322446211
ana1,ana,NHLRC4,15.8460297642657
ana1,ana,AC108134.4,44.8970843320861
ana1,ana,SMIM22,561.213554151076
ana1,ana,AC099518.4,10.5640198428438
ana1,ana,LINC01571,13.2050248035547
ana1,ana,AC007906.2,245.613461346118
ana1,ana,DYNLRB2,250.89547126754
ana1,ana,PLCG2,1476.32177303742
ana1,ana,FAM92B,229.767431581852
ana1,ana,LINC02166,42.2560793713751
ana1,ana,TEKT1,143.934770358747
ana1,ana,LRRC75A,27.7305520874649
ana1,ana,DRC3,62.0636165767072
ana1,ana,B9D1,72.627636419551
ana1,ana,AC087393.2,18.4870347249766
ana1,ana,LYRM9,15.8460297642657
ana1,ana,OMG,184.870347249766
ana1,ana,CCL15,68.6661289784846
ana1,ana,CAVIN1,120.165725712348
ana1,ana,NGFR,138.652760437325
ana1,ana,AC015813.8,3.96150744106642
ana1,ana,LPO,11.8845223231993
ana1,ana,SMIM5,23.7690446463985
ana1,ana,MTCL1,48.8585917731525
ana1,ana,DSC3,75.2686413802619
ana1,ana,DSG3,56.7816066552853
ana1,ana,PARD6G-AS1,39.6150744106642
ana1,ana,AC005523.1,1.32050248035547
ana1,ana,PEX11G,5.28200992142189
ana1,ana,FBXW9,66.0251240177736
ana1,ana,MISP3,44.8970843320861
ana1,ana,CRLF1,7.92301488213283
ana1,ana,IL4I1,21.1280396856876
ana1,ana,AC010624.1,1.32050248035547
ana1,ana,AC010624.5,1.32050248035547
ana1,ana,TMEM238,10.5640198428438
ana1,ana,AL121899.1,30.3715570481759
ana1,ana,SPEF1,55.4611041749298
ana1,ana,RALY-AS1,5.28200992142189
ana1,ana,WFDC6,2.64100496071094
ana1,ana,EPPIN,10.5640198428438
ana1,ana,C20orf85,838.519075025725
ana1,ana,LKAAEAR1,14.5255272839102
ana1,ana,FAM3B,3.96150744106642
ana1,ana,UMODL1-AS1,2.64100496071094
ana1,ana,RSPH14,14.5255272839102
ana1,ana,Z95115.1,7.92301488213283
ana1,ana,AC004832.1,17.1665322446211
ana1,ana,RIBC2,52.8200992142189
ana1,ana,LINC01589,10.5640198428438
ana1,ana,SYCE3,1.32050248035547
ana1,ana,FAM104B,72.627636419551
ana1,ana,SLC16A2,85.8326612231057
ana1,ana,PIH1D3,51.4995967338634
ana1,ana,AKAP14,154.49879020159
ana1,ana,AC244090.1,83.1916562623948
ana2,ana,C1orf158,15.8991664463483
ana2,ana,RCAN3AS,7.48196068063451
ana2,ana,ZSCAN20,19.6401467866656
ana2,ana,POU3F1,5.61147051047588
ana2,ana,FAM183A,386.256220137757
ana2,ana,TCTEX1D4,101.006469188566
ana2,ana,AL358075.2,5.61147051047588
ana2,ana,C1orf87,19.6401467866656
ana2,ana,TCTEX1D1,68.2728912107899
ana2,ana,C1orf141,31.7983328926967
ana2,ana,C1orf194,682.728912107899
ana2,ana,PIFO,575.175727323778
ana2,ana,TSPAN2,9.35245085079314
ana2,ana,LINC01765,14.963921361269
ana2,ana,RIIAD1,84.1720576571382
ana2,ana,C1orf189,31.7983328926967
ana2,ana,AL451085.1,13.0934311911104
ana2,ana,PPOX,49.5679895092036
ana2,ana,CFAP126,166.473625144118
ana2,ana,HSPA6,346.975926564425
ana2,ana,ANKRD45,35.5393132330139
ana2,ana,APOBEC4,6.5467155955552
ana2,ana,NIBAN1,439.565189987277
ana2,ana,LINC00467,52.3737247644416
ana2,ana,NEK2,5.61147051047588
ana2,ana,AC096637.2,14.0286762761897
ana2,ana,SPATA17,96.3302437631693
ana2,ana,CNIH3,20.5753918717449
ana2,ana,ACBD3-AS1,52.3737247644416
ana2,ana,PTRHD1,80.431077316821
ana2,ana,FAM166C,8.41720576571382
ana2,ana,CCDC121,18.7049017015863
ana2,ana,CYP1B1,10.2876959358724
ana2,ana,C2orf73,55.1794600196795
ana2,ana,WDR54,164.603134973959
ana2,ana,DNAH6,134.675292251421
ana2,ana,TEKT4,30.8630878076173
ana2,ana,ECRG4,150.57445869777
ana2,ana,NPHP1,147.768723442532
ana2,ana,AC104653.1,3.74098034031725
ana2,ana,NEB,15.8991664463483
ana2,ana,AC013264.1,102.876959358724
ana2,ana,AC006994.2,21.5106369568242
ana2,ana,CATIP,34.6040681479346
ana2,ana,LINC02832,4.67622542539657
ana2,ana,HDAC4-AS1,5.61147051047588
ana2,ana,SRGAP3-AS2,57.9851952749174
ana2,ana,NDUFAF3,195.466222781577
ana2,ana,DNAH12,187.049017015863
ana2,ana,SNTN,283.379260779032
ana2,ana,AC079848.2,0.935245085079314
ana2,ana,CFAP100,36.4745583180932
ana2,ana,DZIP1L,37.4098034031725
ana2,ana,ERICH6-AS1,25.2516172971415
ana2,ana,WDR49,54.2442149346002
ana2,ana,LRRC34,43.9565189987277
ana2,ana,LINC01014,15.8991664463483
ana2,ana,HES1,223.523575333956
ana2,ana,LINC02265,12.1581861060311
ana2,ana,CFAP299,37.4098034031725
ana2,ana,AC098487.1,6.5467155955552
ana2,ana,NUDT6,13.0934311911104
ana2,ana,LINC01091,0.935245085079314
ana2,ana,PLK4,2.80573525523794
ana2,ana,SPATA4,27.1221074673001
ana2,ana,TRIP13,17.769656616507
ana2,ana,CAPSL,233.811271269828
ana2,ana,CDC20B,11.2229410209518
ana2,ana,PART1,3.74098034031725
ana2,ana,CENPK,20.5753918717449
ana2,ana,FAM169A,52.3737247644416
ana2,ana,ZNF474,22.4458820419035
ana2,ana,AC010255.3,3.74098034031725
ana2,ana,NME5,136.54578242158
ana2,ana,C6orf52,35.5393132330139
ana2,ana,AL022068.1,21.5106369568242
ana2,ana,LINC00240,24.3163722120622
ana2,ana,ZSCAN16-AS1,25.2516172971415
ana2,ana,HCG14,3.74098034031725
ana2,ana,HSPA1A,2643.00261043414
ana2,ana,C6orf226,29.927842722538
ana2,ana,RSPH9,231.00553601459
ana2,ana,SPATS1,7.48196068063451
ana2,ana,GSTA1,601.362589705999
ana2,ana,IRAK1BP1,25.2516172971415
ana2,ana,BACH2,29.927842722538
ana2,ana,FAM229B,295.537446885063
ana2,ana,LINC00326,5.61147051047588
ana2,ana,ADGB,69.2081362958692
ana2,ana,AL355312.4,3.74098034031725
ana2,ana,DYNLT1,1070.85562241581
ana2,ana,AC013470.2,11.2229410209518
ana2,ana,PCLO,198.271958036814
ana2,ana,AC002451.1,1.87049017015863
ana2,ana,AC105446.1,17.769656616507
ana2,ana,EFCAB10,105.682694613962
ana2,ana,IQUB,89.7835281676141
ana2,ana,AC006333.2,16.8344115314276
ana2,ana,PIP,111.294165124438
ana2,ana,RARRES2,85.1073027422175
ana2,ana,PPP1R42,52.3737247644416
ana2,ana,AP001207.3,14.963921361269
ana2,ana,BAALC,19.6401467866656
ana2,ana,C9orf24,635.966657853933
ana2,ana,FAM166B,43.0212739136484
ana2,ana,SPAG8,47.697499339045
ana2,ana,AL353770.4,4.67622542539657
ana2,ana,C9orf135,315.177593671729
ana2,ana,PSAT1,494.744650006957
ana2,ana,MORN5,260.933378737129
ana2,ana,SPACA9,97.2654888482486
ana2,ana,C9orf116,421.79553337077
ana2,ana,SFTA1P,26.1868623822208
ana2,ana,VIM-AS1,6.5467155955552
ana2,ana,SLC16A9,164.603134973959
ana2,ana,MRLN,14.963921361269
ana2,ana,ANK3-DT,2.80573525523794
ana2,ana,CDK1,6.5467155955552
ana2,ana,CABCOCO1,65.467155955552
ana2,ana,DYDC2,131.869556996183
ana2,ana,ANKRD22,79.4958322317417
ana2,ana,INA,78.5605871466623
ana2,ana,CASC2,28.0573525523794
ana2,ana,CDKN1C,68.2728912107899
ana2,ana,C11orf16,21.5106369568242
ana2,ana,C11orf74,111.294165124438
ana2,ana,MAJIN,3.74098034031725
ana2,ana,CNIH2,12.1581861060311
ana2,ana,KLHL35,8.41720576571382
ana2,ana,CCDC81,3.74098034031725
ana2,ana,DEUP1,13.0934311911104
ana2,ana,C11orf97,114.099900379676
ana2,ana,CFAP300,140.286762761897
ana2,ana,AP003307.1,4.67622542539657
ana2,ana,AP002008.4,5.61147051047588
ana2,ana,C11orf88,300.21367231046
ana2,ana,PIH1D2,62.661420700314
ana2,ana,CCDC153,146.833478357452
ana2,ana,SPA17,303.954652650777
ana2,ana,TP53AIP1,14.963921361269
ana2,ana,MIR200CHG,25.2516172971415
ana2,ana,ST8SIA1,9.35245085079314
ana2,ana,AC023157.3,14.963921361269
ana2,ana,PRICKLE1,29.927842722538
ana2,ana,AC008035.1,5.61147051047588
ana2,ana,CCDC65,62.661420700314
ana2,ana,GIHCG,43.9565189987277
ana2,ana,TSPAN19,118.776125805073
ana2,ana,CFAP73,120.646615975231
ana2,ana,TEX26,50.5032345942829
ana2,ana,KCNRG,7.48196068063451
ana2,ana,LMO7-AS1,9.35245085079314
ana2,ana,AL096870.8,1.87049017015863
ana2,ana,LINC02300,14.0286762761897
ana2,ana,AL136038.5,14.0286762761897
ana2,ana,PPP1R36,12.1581861060311
ana2,ana,ACYP1,101.006469188566
ana2,ana,FOS,233.811271269828
ana2,ana,AL357093.2,248.775192631097
ana2,ana,CRIP1,1093.30150445772
ana2,ana,LINC02345,13.0934311911104
ana2,ana,DNAAF4,167.408870229197
ana2,ana,MNS1,180.502301420308
ana2,ana,AC027237.3,14.0286762761897
ana2,ana,AC023300.2,15.8991664463483
ana2,ana,CFAP161,15.8991664463483
ana2,ana,WDR93,6.5467155955552
ana2,ana,NHLRC4,15.8991664463483
ana2,ana,AC108134.4,33.6688230628553
ana2,ana,SMIM22,498.485630347274
ana2,ana,AC099518.4,7.48196068063451
ana2,ana,LINC01571,11.2229410209518
ana2,ana,AC007906.2,190.78999735618
ana2,ana,DYNLRB2,264.674359077446
ana2,ana,PLCG2,1466.46429340436
ana2,ana,FAM92B,204.81867363237
ana2,ana,LINC02166,40.2155386584105
ana2,ana,TEKT1,129.063821740945
ana2,ana,LRRC75A,14.963921361269
ana2,ana,DRC3,57.0499501898381
ana2,ana,B9D1,68.2728912107899
ana2,ana,AC087393.2,13.0934311911104
ana2,ana,LYRM9,8.41720576571382
ana2,ana,OMG,116.905635634914
ana2,ana,CCL15,79.4958322317417
